*	name	GSL10
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
total	"全体の
 合計
 (を合計する､となる)"
whom	だれを
obey	に服従する
diamond	"ダイヤモンド
 菱形"
tomorrow	あした
lunch	"昼食(の)
 
 (a lunch box 
 弁当箱)"
nephew	おい
goat	"ヤギ
 (欧米では悪とみられイメージは悪い)"
money	お金
raw	なまの
exercise	"練習､練習問題
 運動、体操
 練習する(させる)
 運動する(させる)"
somebody	誰か
beard	"*あごひげ*
 
 （mustashe くちひげ）
 (side whiskers ほおひげ)
 （sideburns もみあげ）"
bare	"*裸の*
 
 （同音異義語）
 (bear 熊、bear 耐える)"
bitter	"*苦い*(味の場合)
 (つらい､痛烈な､敵意のある､身を切るように寒い)"
amongst	"（amongの堅い語）
 *の中に(の)*、*の間で*
 *の中のひとつ*"
mill	製粉場
roll	"転がる(基本義)
 を転がす
 *一*巻
 ロールパン"
store	"(米)商店（英ではshop）
 多量の蓄え(a store)
 を貯蔵する"
excess	超過
noble	"気高い
 高貴な"
operation	"運転
 手術"
march	"行進する
 行進
 行進曲"
love	"愛
 愛する
 （・・が大好きだ）"
loss	"損失
 敗北"
notice	"通知
 注目
 に気が付く"
with	"と共に
 をもって
 ・・で"
kitchen	台所
story	"物語
 階
 
 (a five-story building)"
model	"模型
 模範
 の模型を作る"
spoil	"を台無しにする
 （だめにする）
 台無しになる"
rubber	ゴム
advance	"前進
 前進する"
cover	"を覆う
 覆い"
awake	"目が覚める 
 目が覚めている
 
 (awake, awoke, awoke)"
but	"*しかし*
 （*ほんの* : only）
 
 (ほんの：Life is but a dream.)
 (Row row row your boat歌詞の終り)"
band	"紐
 楽団"
view	"眺め
 見方"
sacred	"神聖な
 厳粛な"
congratulation	"*おめでとう*
  (*複*数*系*で言うのに注意)
 (Congratulation*s* on your sucess!)"
forest	"森林 
 (人手の入らない大森林)
 
 （woods は人手の入った
 森や林）"
scenery	"ある地域全体の自然の｢風景｣
 
 （landscape ：陸地の一望）
 (view：一望､特に遠くの景色)
 (sight:眺め・光景､目に映る物全て)"
it	それ
worm	"*這う虫*
 （毛虫､ミミズなど）
 
 （日本語の虫にあたる
 一語の英語はない)
 （昆虫は insect ）"
copper	"銅
 銅の(銅製の)"
whistle	"笛、汽笛
 口笛を吹く
 汽笛を鳴らす"
comfort	"快適さ
 を慰める"
complaint	不平
proof	"証明
 証拠"
pretense	"(の)ふり
 みせかけ
 口実
 気取り"
belong	"のものである
 に属する
 (belong to)"
shorten	"短くする
 短くなる"
die	死ぬ
scene	"場面
 光景
 （現場）"
preference	"を好むこと
 好物"
medicine	"医薬
 医学、内科"
kneel	"ひざまずく
 
 (kneel, knelt, knelt)"
repair	"を修理する
 修理"
big	"大きい
 (重要な､偉い)
 (年上の:older)"
compete	"競争する
 ( comoete with 人)"
explore	(を)探検する
accept	"を受け入れる
 (を受け取る)"
sand	砂
people	"人々
 国民､民族"
sorrow	悲しみ
capital	"（原義：頭の）
 首都
 大文字(の)
 資本(の)
 重要な"
rivalry	対抗
precious	貴重な
send	"を送る
 を行かせる
 
 (send, sent, sent)"
discussion	"話し合い
 議論"
defeat	"(敵を)負かす
 敗北"
anger	怒り
qualification	資格
difficulty	困難
garden	庭
grind	"を粉にする
 を研ぐ
 
 (grind, ground, ground)"
department	"部門
 (省､局､部など)"
finish	"を終える､終わる
 （終り）
 
 （the finish line 
 ｢競走｣のゴール）
 (球技のゴールはgoal)"
fill	"*を満たす*(fill A with B)
 *に書きいれる*(fill in C)
 
 （注意 規則変化）
 (fill, filled, filled)
 
 (The room is filled with students.)
 (Fill in this form, please.)"
pride	自尊心
poem	詩
companion	仲間
pour	"を注ぐ
 流れ出る
 雨が激しく降る"
