*	name	AWL01
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
plus	"プラス(前置詞)
 (プラスの:形容詞)"
consent	"（名動 同発音）
 -
 同意、同意する"
prime	第一の
hypothesis	"仮説
 前提"
establish	"設立する
 確立する
 立証する
 -
 （↓高頻度語）
 （established）"
maintain	"維持する
 -
 （↓高頻度語）
 （maintenance）
 （維持､支持､扶養）"
intermediate	中間の
imply	"を暗に意味する
 -
 （↓高頻度語）
 （動詞 implies）"
region	"*地方*・*地域*・*領域*・*分野*
 (地理的・社会的に特徴を持つ地域）
 -
 （参考）
 (area：ある用途の区域、通常狭い)
 （district：行政上の区画）"
area	"地域
 区域 (場所)
 分野 (領域)
 面積"
unique	独特の
error	誤り
successor	"後継者
 -
 （↓高頻度語）
 （successive）
 (連続する､引き続いての)"
analogy	"類似性
 類推
 -
 （↓高頻度語）
 （analogous 類似の）"
route	道筋
obtain	"を得る
 -
 （↓高頻度語）
 （obtained）"
prior	"前の
 優先する"
technology	"科学技術
 (工業技術)"
"analyze
 (英綴り: analyse)"	"*分析する*
 -
 （↓AWL高頻度語)
 （analysis [ənǽləsis] 分析）"
insert	挿*入*する
submit	"に服従する
 を提出する
 -
 （↓高頻度語）
 （submitted）"
diverse	"多様な
 -
 （↓高頻度語）
 （diversity 多様性)"
job	"仕事
 -
 （↓高頻度語）
 （jobs）"
factor	"要因(要素)
 （数学:因数）
 （医学:遺伝因子）
 -
 （↓高頻度語）
 （factors）"
occur	"(事故などが) *起こる*
 (↑happen の硬い語､重大事など)
 -
 (考えが)*浮かぶ*(to)
 (An idea just occurred to me.)"
revise	"を改訂する
 -
 （↓高頻度語）
 （revision 改訂）"
estimate	"(動詞発音は éstәmèit） 
 見積もる
 -
 （名詞発音はéstәmәt）
 （見積もり）"
undertake	"引き受ける
 を企てる
 -
 （↓高頻度語）
 （undertaken）"
