*	name	GSL11
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
"*desert*
 (発音注意 'de-zə:〔r〕t )"	"*砂漠*
 
 （異義語）
  ( 発音が違う di-'zə:〔r〕t ）
 (家族・職務を)*捨てる*
 
 (注意：食後のデザートは
 綴りは違うが発音は異義語と同じ
 dessert [di-'zə:〔r〕t ] ）"
warm	暖かい
even	"でさえ
 平らな
 (さらに､それ所か)
 （同等の）
 （偶数の）
 
 (Even a child can understand it.)"
parent	"おや（父または母）
 
 （He has only one parent.）
 （She lives with her parents.)"
off	離れて(基本義)
therefore	それゆえに
fierce	"どう猛な
 激しい"
leave	"(基本義:離れる､放置する)
 (を)去る
 置き忘れる
 へ出発する(for)
 （残して死ぬ）
 
 (leave, left, left)"
ought	"すべきである
 
 (助動詞､過去形なし)
 (文法・辞書を必読)"
grammatical	文法の
allowance	"こづかい
 手当て
 控除"
collect	"を集める
 集まる"
former	"以前の
 前者(the formar)
 
 （後者はthe latter）"
favorite	"お気に入りの
 お気に入りの人や物"
roar	"吠える
 とどろく"
wherever	どこにでも
neglect	"を怠る
 を無視する
 怠慢"
free	"自由な
 無料の
 自由にする"
moment	"瞬間
 時期
 (モ-メント:運動率)"
stiffen	"を堅くする
 堅くなる"
old-fashioned	"旧式の
 (時代遅れの)"
orange	オレンジ
president	"大統領 (the President)
 会長、学長
 (米) 社長"
everywhere	どこでも
shore	岸
drink	"(を)飲む
 酒を飲む
 飲みもの
 
 (drink, drank, drunk)
 ([driŋk], [dræŋk], [drʌŋk])"
meantime	"その間に
 話変わって一方
 （in the mean time)"
out	外へ(基本義)
attract	を引きつける
party	"パーティ
 政党"
quiet	"静かな
 静けさ
 を鎮める"
attention	注意
prefer	のほうを好む
election	選挙
headache	"頭痛
 
 (I have a slight headache. 軽い頭痛)"
preserve	"を保護する
 を保存する"
plan	"計画
 を計画する"
waste	"を無駄に使う
 浪費
 （くず、廃棄物）"
less	"より少ない(く)
 (littleの比較級)"
lengthen	"を長くする
 長くなる"
tonight	今夜
scold	"を叱る
 叱る"
event	"出来事
 行事"
restaurant	レストラン
ask	"(を)尋ねる 
 に頼む
 を招待する
 
 (May I ask a question?)
 (I asked him to wait.)"
plant	"（原義：若枝）
 植物
 工場
 を植えつける"
male	"男性の
 雄の
 
 （a male chorus）
 （男性合唱団）"
silence	"沈黙
 静寂"
comparison	比較
such	"こんな
 そのような"
mother	母
nor	"(neither A nor B)
 A でもBでもない
 
 （否定文のあと）
 もまた・・いない"
dine	"ディナーを食べる
 (have dinnerがふつう)"
note	"覚え書き(メモ)
 注
 （音・声の調子）
 を書き留める
 に注意する"
everyday	"（形容詞）
 毎日の
 日常の
 
 (副詞 毎日はevery day)"
then	"その時
 それから"
other	ほかの(物・人)
afternoon	午後
fly	"飛ぶ
 を飛ばす
 飛行機で行く
 (fly, flew, flown)
 
 ハエ(異義語)"
loud	"*大*声*の*
 *大*声*で*
 
 (Woud you speak a litle louder?)
 (大声で は 下記などもある)
 (in a loud voice, loudly, loud(口語))"
realize	"を実感する
 実現させる"
sense	"分別
 感覚
 正気
 意味"
boil	"を沸かす 
 沸騰する"
power	"力
 権力
 （電力）"
wife	"妻、夫人
 
 （my wife and I）
 （私たち夫婦）"
succeed	"成功する（suceed in)
 を引き継ぐ(suceed to)"
about	"*について*、*およそ*
 
 （講演などの定例句） 
 （I'd like to talk a little bit about・・）
 （成句：How about・・や be about to )
 
 (英:「のまわり､のあたり」の意味もある｡米ではこの場合aroundを多用)"
confidential	機密の
distance	距離
necessity	"必要性
 必需品(necessities)"
pencil	鉛筆
flow	"流れる
 流れ(aやtheが付く)
 
 (注意 規則変化)
 (flow, flowed, flowed)"
usual	いつもの
dead	"死んでいる
 （まったく(の)）"
gallon	"ガロン
 (日米:3.785L､英:4.546L)
 (略語：gal., 複数gals)"
lid	ふた
verb	動詞(文法)
network	"ネットワーク
 (網状のもの)"
narrow	"狭い
 を狭くする
 狭くなる"
simplicity	"簡単
 簡素"
nest	巣
agency	"代理店
 （作用）"
look	"意識的に見る(基本義)
 に見える
 一寸見る(take a look)
 容貌(looks)"
pass	"(を)通りすぎる
 (に)合格する
 を手渡す
 経つ"
date	"日付(を書く)
 年代をさかのぼる
 (The temple dates back to the twelfth century.)"
thumb	親指
quarrel	口論
concern	"関係がある
 関心事"
flame	"炎
 炎を出す"
essence	本質
thick	"厚い
 太い
 濃い"
land	"陸
 着陸する"
demand	"要求
 需要
 を要求する"
hollow	"くぼんだ
 うつろな
 くぼみ"
polite	丁寧な
ancient	古代の
picture	"絵
 写真
 を描く"
hurry	"急ぐ
 急がせる
 急ぎ"
solemn	厳粛な
cottage	"田舎の小さい住宅
 
 (OALD､Webster辞書共 同じ定義)
 (a small house, especially in the country)"
hang	"を掛ける
 （を取りつける）
 （を絞首刑にする)
 
 (hang, hung, hung)"
onto	の上へ
imitation	模倣
trade	"商業、貿易
 (を商う、貿易をする)
 (を交換する)"
devil	悪魔
besides	"・・に加えて
 そのうえ"
conqueror	征服者
autumn	"*秋*
 (米ではふつう秋はfall､
 autumnは文語的)
 (英国では両方通じるが
 autumnが一般的)"
drive	"を運転する
 車を運転する
 ドライブ
 (を追い立てる､を動かす)
 ( ↑ 原義 )
 
 (drive, drove, driven)"
liar	"うそつき
 （日本語よりはるかに
 意味が強いので注意）"
lip	唇
nothing	何も・・ない
screen	"ついたて
 画面
 (ついたてで仕切る)"
