*	name	GSL05
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
law	法律
safe	"安全な
 金庫"
imagine	(を)想像する
follow	"について行く
 を進んで行く
 に従う"
for	"*のために* (目的・意図）
 *に向かって*（行先）
 *の間*（時間・距離）
 *に賛成して*
 
 (Are you for or against my plan?)"
liberty	自由
correction	訂正
voyage	航海
photograph	写真
either	"どちらか(の､でも)
 も又・・ない(否定)"
pen	ペン
donkey	ろば
till	"までずっと
 する時まで"
satisfactory	満足な
anybody	"*だれか*
 (疑問文・条件節では単数扱)
 
 ( Is anybody absent today?)
 (anyoneと同じ意味。
 anybodyの方がくだけた言い方)"
agree	"(に)一致する 
 (に)同意する
 
 （I agree with you.)"
screw	"ネジ
 をﾈｼﾞで留める"
value	"価値
 を評価する"
cage	"獣や鳥の金属製のおり
 
 (木製のうさぎ小屋などはhutch)"
brother	"*兄、弟*、兄弟
 
 (英語では生まれた順に区別しない)
 (特に言う場合は兄：an older brother
 弟：a yonger brother
 兄弟は互いに名前で呼ぶ)"
tray	トレー(盆)
disease	"病気
 (病名がはっきり
 した特定の病気)"
sympathetic	同情のある
sell	"(を)売る
 
 (sell, sold, sold)"
hindrance	妨害
likely	・・しそうである
from	"(基本義:を起点に)
 *から*
 （出身の）"
modesty	"謙遜
 女性の遠慮"
pause	"小休止
 休止する"
would	"・・だろう
 ・・するつもり
 
 (助動詞willの過去)
 (基本義｢過去時における主語の意志｣
 から意志・固執・推量・習慣・丁寧・仮定
 などに派生)
 (文法･辞書を必読)"
business	"仕事
 商売
 （ 用事 ）"
because	"・・だから
 
 （because 直接の理由）
 （since 軽い理由）
 （ *,* for 文語表現）
 (as は理由というより付帯状況)"
entrance	"入口､玄関
 入ること"
aunt	"(発音注意 ænt)
 -
 伯母（叔母）
 -
 (反意語 uncle 伯父・叔父)
 (関連語 nephew 甥、niece 姪)
 (同音語 ant 蟻)"
center	"中心
 を集中させる"
tin	"スズ
 ブリキ"
birth	誕生
avoid	"を避ける
 (avoid doing)"
use	"*を使う*
 *使用*、*利用*、*用途*
 
 （正規変化）
 （ use, used, used ）
 （[ ju:*z*, ju:*z*d, ju:*z*d ]）
 
 (注意：be used to ｢に慣れている｣
 のused は形容詞｡ 発音は ju:*s*t )"
smell	"におい
 のにおいがする
 のにおいをかぐ"
cart	"馬が引く荷車
 手押し車"
tighten	を引き締める
tough	"困難な
 堅い
 強い"
chimney	煙突
shut	"を閉める
 閉まる
 
 (shut, shut, shut)"
seat	"*座席*
 *着席させる*
 
 （Prease seat youself.）
 （Prease be seated.）
 （Please sit down.）"
prevent	"をさまたげる
 を防ぐ"
doctor	"医師
 （博士 Dr.）"
simple	"簡単な
 質素な"
tea	"*紅茶*
 （緑茶は green tea ）
 
 （不可算でtwo cups of teaだが
 Two teas, please もあり）"
supply	"を供給する
 供給
 たくわえ
 (生活必需品 ssplies)
 
 (suppply and demand)
 (需要と供給:語順が逆)"
each	"*それぞれの*
 *各自*(*人*・*物*)
 (eachはふつう単数扱い)
 
 (Each room is furnished.家具付き)"
cold	"寒い､冷たい
 風邪
 寒さ
 
 （I caught a cold.）
 (I don't like the cold in winter.)"
educator	"教育者
 
 (teacherより堅い語)"
nice	"すてきな
 親切な"
week	週
discipline	"*訓練*
 *しつけ*
 *規律*
 (*を訓練する*)
 (*しつける*)
 
 （良く似た単語に 
 disciple [di-'sai-pәl] *弟子* がある)"
death	死
when	"いつ
 ・・する時に"
rejoice	"を非常に喜ぶ
 （堅い語）"
purpose	目的
"hurray
 (hurrahとも綴る)"	フレー(掛け声)
develop	"を発達させる
 発達する"
country	"国
 田舎､地域(the country)
 
 （country：一般語､地理に重点）
 （nation：国民に重点）
 （state：法・政治に重点)"
interfere	"邪魔をする
 干渉する"
chief	"長
 おもな"
elect	を選ぶ
poverty	貧乏
mere	単なる
car	"自動車
 (米 列車車両)"
wander	"歩き回る
 さまよう"
yield	"（原義：与える）
 を産する、生ずる
 を与える
 服従する
 産出高"
risk	"危険
 危険をおかす"
upset	"をひっくり返す
 をうろたえさせる
 気が動転した
 
 (upset, upset, upset)"
observe	"（原義：注意する）
 を観察する
 に気がづく
 意見を述べる
 法を守る"
translation	"翻訳
 （訳文）"
indoor	屋内の
sword	"剣
 (短剣はdagger)"
skin	"皮膚
 皮"
wet	"濡れた
 雨の
 を濡らす
 
 (wet, wet, wet)"
perform	"行う
 上演する"
back	"*背中*､*背面*(基本義) 
 *後ろの*(に､へ)
 *を後退させる*
 *を後援する*
 
 (She turned her back to me.)
 (the back of the bus)"
queen	"女王
 
 （Quenn Elizabeth Ⅱ）
 (このⅡはthe second)"
pity	"哀れみ
 同情
 を可哀そうに思う"
speech	"演説、スピーチ
 
 （He made a speech at the dinner party.）"
blade	"(刃物の)刃
 (プロペラの)羽根"
mixture	"混合
 混合物"
sleep	"眠る
 眠り
 
 (sleep, slept, slept)"
worship	"崇拝
 を崇拝する"
write	"(を)*書く*
 (に)*手紙を書く*(write to A)
 (He wrote to me last week.)
 (米ではこのtoがよく省略され
 wrote は他動詞になる）
 
 (write, wrote, written)"
lean	"傾く
 もたせかける"
passage	"通路
 進行
 (文章の一節)"
dust	ちり､ほこり
district	"地区
 
 (region:特徴のある地方
 district:行政的な地区
 area:境界不明な面積)"
punish	を罰する
confidence	"自信
 信頼"
mechanic	機械工
of	"・・の
 ・・の中の(で)
 
 (所有・分離ほか多義)
 (文法･辞書を必読)"
again	"再び、さらに
 
 (He will come back again.)"
satisfy	を満足させる
mend	"*を修繕する*
 (mendは針や糸の小修理
 機械・建築はrepair）
 
 （注意 規則変化）
 (mend, mended, mended)"
appoint	"を任命する
 (日時・所を)決める"
tent	テント
too	"もまた同様に
 余りに・・すぎる"
joke	"冗談
 冗談を言う"
guide	"案内者
 案内書
 を案内する"
complete	"完全な
 を仕上げる"
determine	"を決定する
 （・・しようと決心する）
 (be determined to do ・・)"
surprise	"を驚かせる
 驚き
 
 (To my surprize, )
 （驚いたことに）"
fresh	新鮮な
quarter	"４分の１
 15分
 （米 25 cent貨）
 （四半期）"
cave	ほら穴
against	"に対抗して
 に反対して
 （We are agaist war.)
 
 （基本義 ｢対抗｣ から派生が多い）
 （にぶつかって､に寄りかかって､
 を背景に､を防いで、など）"
dot	"点
 に点を打つ"
cultivator	栽培者
operate	"作動する
 手術する
 を操作する"
resist	に抵抗する
print	"(を)印刷する
 印刷"
sadden	"を悲しませる
 悲しくなる"
poet	詩人
scientist	科学者
blind	"盲目の
 ひよけ
 (目をくらませる)"
remember	"(を)覚えている
 (を)思い出す
 
 (Now I remenber.)
 (ああ、思い出した)"
by	"によって(基本義)
 のそばに(基本義)
 までに"
spin	"(を)紡ぐ
 回転
 
 (spin, spun, spun)"
hammer	金づち
surface	表面
motherly	母のような
nowadays	こんにちでは
evil	"邪悪な
 邪悪"
water	"水
 に水をやる
 
 (the water 川・海等の水)
 (waters 特定の水域,領海)"
garage	"車庫
 自動車修理工場"
toe	"足の指
 つま先"
along	"を通って
 に沿って"
