*	name	GSL06
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
crowd	"群衆
 (に)群がる"
honest	正直な
suspicious	"疑い深い
 怪しげな"
gas	気体
shadow	影
since	"・・以来
 その後(文尾)
 ・・だから
 
 （理由の since は
 because より弱く
 文頭に置く）"
engine	エンジン
sweeten	"を甘くする
 甘くなる"
fit	"適した
 健康な
 ぴったり合う
 
 (fit, fitted, fitted)
 (米 fit, fit, fitもある)"
we	私たち
empty	"からの
 空にする
 空になる"
throat	喉
which	どちら
funny	おかしい
reserve	"を予約する
 を取っておく
 蓄え"
wicked	悪意のある
snow	"雪
 雪が降る
 
 （It began to snow.）"
machinery	"機械類 
 （集合名詞）
 
 (There is a lot of machinery in the factory)"
possess	を所有する
patient	"我慢強い
 患者"
rough	"粗い
 荒っぽい
 おおざっぱな
 （荒々しく）
 （ざらざら）
 （ざらざらにする）"
instrument	"器具
 楽器"
whose	だれの
classify	を分類する
terrible	恐ろしい
old	"年とった
 古い"
watch	"腕時計
 （警戒、見張り）
 (を)じっと見る
 
 (I watch television.)"
together	一緒に
gain	"得る
 増える
 利得"
sea	海
ahead	前に(前方に）
below	"より下に
 下に"
door	ドア
translator	翻訳家
ride	"(に)乗る
 乗ること
 
 (ride, rode, ridden)"
milk	"牛乳（ふつう牛の乳）
 
 （goat's milk ヤギの乳）
 （mother's milk 母乳）"
ability	能力
measure	"(を)測る
 寸法
 （ものさし）
 （手段 measures）"
put	"を置く(基本義）
 にする、を動かす
 
 (put, put, put)
 (多義:辞書を参照)"
ton	"トン(重量の単位)
 (１ton＝1000kg)"
royalty	"印税
 特許使用料
 王族"
order	"命令(する)
 注文(する)
 順序"
apple	りんご
lessen	"を少なくする
 少なくなる"
recent	"最近の
 
 （*注意*：副詞 recently は
 現在には使わない）
 (nowadays や these daysを使う)"
forth	前へ
aim	"を向ける
 ねらう
 ねらい"
anywhere	"どこかに
 どこにも
 どこへでも"
behave	ふるまう
bunch	(果物等の) 房
ready	用意ができた
cape	"岬
 
 （the Cape of God Hope 喜望峰)"
single	"たった一つの
 独身の
 ホテルの一人部屋
 （選び出す single out）"
faint	"気が遠くなりそうな
 失神する"
trip	旅行
push	"(を)押す
 押すこと"
border	"国境
 境界"
page	ページ
disappearance	見えなくなること
extension	延長
pastry	"ペーストリー
 (パイ､タルトなど)"
attempt	"を企てる
 試み"
change	"を変える､変わる
 を交換する､を両*替*する
 変*化*
 *小*銭
 *つり*銭"
sit	"座る
 を座らせる
 
 (sit, sat, sat)"
slope	"坂
 傾く"
"cupboard
 (発音注意 ˈkʌbə〔r〕d)"	"-
 *食器*戸*棚*
 （英では押入れ=米closet 
 の意味もあり）"
recognition	認識
special	"特別の
 特別の人や物"
he	彼
weekend	"週末
 (ふつう土・日)"
mouth	"*口*
 
 （下記のような使い方もする）
 (the mouth of a river 河口)
 (the mouth of a bottle 瓶の口)"
library	図書館
while	"接する間
 しながら
 なのに
 少しの時間"
wound	"傷
 を傷つける
 
 (woundは切傷や弾丸傷
 injuryは事故による負傷)"
quite	"（主に英で使う）
 *まあまあ*
 *まったく*
 （両義ありややこしい）
 （米では very に相当）
 
 (Webster､OALD 両辞書で確認)
 (慣れてないと使わない方が無難)"
bit	"しょうへん
 (小片)
 少量"
dance	"(を)踊る
 ダンス"
guess	"(を)推測する
 推測"
buy	(を)買う
influence	"影響
 影響を与える"
ladder	はしご
republic	共和国
mud	泥
deaf	耳が聞こえない
front	"前部
 前の"
verse	"韻文(詩歌)
 
 (反意語 prose散文)"
earth	"地球 (the earth)
 (一天体としてはearth)
 （地面､土）
 
 （電気の 接地線 は
 英 earth、米ground）"
face	"顏､(表面)
 に面する
 に直面する
 
 (My room faces the garden.)"
balance	"バランス
 はかり"
late	"遅い､遅く
 *故*
 
 (the late Mr.Smith)
 (my late father)"
sake	"*ため*(成句で用いる)
 
 (for the sake of A、 Aのために)"
association	"協会
 交際
 （連想）"
share	"分け前､(役割)
 株(個々の株)
 をともにする
 分かち合う
 
 (会社の株全体はstock)"
wild	"野生の
 未開の"
cap	"ふち無し帽子
 
 （baseball cap）
 （colledge cap）
 （ふち付き帽子は hat）"
anyone	"*誰か*(も､でも)
 
 （単数扱い。 anybodyと同じだが
 anyoneの方が少し堅い）
 
 （Is anyone here?）
 （誰か いますか）"
fight	"(と)戦*う*
 戦*い*
 
 (fight, fought, fought)"
opposition	反対
expect	"を予期する
 を期待する"
weapon	武器
companionship	交際､友情
that	"それ､あれ
 (その､あの)
 ということ
 する所の・・
 
 (代､関代､形､副､接)
 (文法・辞書必読)"
brown	"褐色(の)
 （茶色）"
obedience	服従
direct	"まっすぐな
 直接の
 を指揮する"
audience	"聴衆（観衆・視聴者）
 （ふつう 単数扱い）
 
 (There was a large audience.)"
moral	"道徳的な
 道徳(morals)"
win	"(に)勝つ
 を獲得する
 （勝利）
 
 (win, won, won)"
smooth	"滑らかな
 を平らにする"
ounce	"オンス
 （重さの単位）
  （約28.35g）"
cowardice	臆病
postpone	を延期する
sympathy	同情
pool	"水たまり
 (液体のたまり)(原義)
 （共同資金）
 
 (ﾌﾟｰﾙはa swiming pool)"
stir	をかき混ぜる
angle	角度
anything	"*何か*
 （単数扱い）
 
 （Is there anything interesting in the newspaper?)
 
 (文法・辞書を必読)"
pair	"一組
 夫婦"
mankind	人類
fade	しぼむ
behavior	行動
reduce	を減らす
dependent	"頼っている
 
 (I'm still dependent on my parents.)"
bell	ベル (鈴､鐘)
heap	"積み重なったもの
 堆積物
 積み上げる"
better	よリ良い(く)
reason	"理由
 理性
 （考える､論じる）"
during	"*の間*
 （ある特定の期間）
 （during the vacation）
 
 (He sleeps during the day and works during the night. )"
able	"・・できる
 
 (can は現在と過去のみ｡
 未来と完了はbe able to)"
decay	"腐る
 衰える
 腐敗、衰え"
applaud	に拍手する
universal	"全世界の
 普遍的な
 
 (universal gravitation) 
 （万有引力）"
short	"短い(基本義)
 背の低い
 不足して"
sample	見本
also	"もまた
 さらに"
those	それら
strike	"(を)打つ
 (打つこと)
 (ストライキ)
 
 (strike, struck, struck)"
shelter	"避難所
 を保護する"
scent	"匂い、匂いの跡
 犬などの嗅覚
 をかぎつける"
politician	政治家
harbor	"港(避難所）
 （をかくまう）
 （を心にいだく）"
attend	"に出席する
 (attend the meeting)
 に専念する
 (attend to the job)"
mechanism	"機械
 仕組み"
expense	出費
north	北(の､へ)
applause	拍手
stamp	"切手
 (pstage stamp)
 印
 に印を押す"
coward	臆病者
sing	"(を)歌う
 さえずる
 
 (sing, sang, sung)"
effective	効果的な
reply	"に返事をする
 と答える
 返答"
these	これら
laugh	"笑う
 笑い
 
 （The girls laughed at the boy.)"
across	"(を端から端迄) 横*切って* (基本義)
 (の向こう側に)
 (と十文字に交差して)
 
 (A little boy is walking across the street.)"
imitate	をまねる
full	いっぱいの
thirst	"のどの渇き
 
 (形容詞はthirsty)"
suggest	"を提案する
 (を暗示する)"
relative	"相対的な
 親戚"
mountain	山
admire	に感嘆する
fear	"(を)恐れる
 恐怖"
widow	未亡人
grass	"草
 芝生(the grass)"
otherwise	"別のやり方で
 そうしないと"
raise	"を上げる
 を飼う
 子供を育てる
 (米)昇給（英rise）"
wait	待つ(wait for)
body	"体､(胴体)､(死体)
 （団体）
 （物体）"
all	"*全部の* (形容詞)
 *まったく* (副詞)
 *全ての人*々 (代名詞)
 *全ての事・物* (代名詞)
 
 (用法が複雑なので
 文法書･辞書を必読)"
modern	現代の
lately	最近
town	町
limit	"限界
 を制限する"
vote	"投票
 投票する"
ordinary	普通の
lead	"*を導く*、*通じる*
 (lead, led, led)
 
 *先導*
 (*記事の書き出し*)
 （*導線*）
 
 *鉛* (異義語 発音 [led])"
progress	"進行
 進歩
 前進する"
represent	"(原義：はっきりと示す)
 を代表する
 を描く"
uncle	おじ
bow	"お辞儀
 お辞儀をする
 
 船首
 (異義語 発音[bou])"
pale	"青白い
 （青ざめる）
 （淡くなる）"
deceive	をだます
wear	"を着ている
 を表している
 をすり減らす、すり減る
 衣服(合成語が多い)
 
 (wear, wore, worn)"
like	"(を)好む
 似た
 のように"
effort	努力
beast	獣 (四足）
duck	カモ､アヒル
please	どうぞ
teach	"(を)*教える*
 (teach, taught, taught)
 
 （teacher 教師）
 （英語では 「先生！」 は
 Mr.Smith， Ms Smith など）
 （MissやMrs. は先生のお好み）"
messenger	"使者
 郵便配達人"
honor	"名誉
 尊敬
 （を尊敬する）
 （栄誉を授ける)"
tribe	"部族
 （種族）"
ruin	"破滅
 荒廃
 を破滅させる"
above	"より上に(の)
 
 (レベルの差があるのがabove）
 (The sun is above the horizon.)
 
 (反意語 below より下に)"
low	"低い､低く
 最低点
 
 (The tepmerature reached a new low yesteday.)"
