*	name	瞬間英作文おかわり1-01to10
*	media-dir	0
*	description	0
*	notes	0
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
これはお寺です。	This is a temple.
あれもお寺ですか?-いいえ、違います。神社です。	Is that a temple, too? No, it isn't. It's a shrine.
このコーヒーはおいしい。	This coffee is tasty.
あの男性はこの町に住んでいます。	That man lives in this town.
これらは私の車です。	These are my cars.
あれらは英語の本ですか?-はい、そうです。	Are those English books? Yes, they are.
あなたがこの犬たちの世話をしているのですか?-はい、そうです。	Do you take care of these dogs? Yes, I do.
これはとても有名な本です。	This is a very famous book.
あの映画はあまり面白くありません。	That movie is not very interesting.
あの少女たちはこの学校で勉強しているのですか?-いいえ、違います。	Do those girls study in this school? No, they don't.
私はあなたのお兄さんを知っています。	I know your brother.
あなたは弁護士ですか? いいえ、違います。	Are you a lawyer? No, I'm not.
彼女は私の先生ではありません。	She isn't my teacher.
彼は家を2軒持っています。	He has two houses.
我々は自分たちの(我々の)町を愛しています。	We love our town.
あなた方はここで働いているのですか? はい、そうです。	Do you work here? Yes, we do.
彼らは彼の生徒たちです。	They are his students.
あなたは彼女の名前を知っていますか? いえ、知りません。	Do you know her name? No, I don't.
あれが彼らの部屋(1つ)です。	That is their room.
あれらはあなた方の車ですか?	Are those your cars?
僕のこと好き? ええ、大好きよ。	Do you like me? Yes, I like you a lot.
彼は彼女にとても親切です。	He is very kind to her.
あなたは彼によく会うのですか? いいえ、会いません。	Do you often see him? No, I don't.
エミリーは彼らがあまり好きではありません。	Emily doesn't like them very much.
あの先生は僕たちにとても厳しいです。	That teacher is very strict with us.
この本は私のです。	This book is mine.
あのカバンはあなたのですか?	Is that bag yours?
あの自転車は彼のですか、それとも彼女のですか?	Is that bicycley his or hers?
そのお金は私たちのものです。	The money is ours.
あれらのりんごはあなた方のですか、それとも彼らのですか?	Are those apple yours or theirs?
あれは何ですか? 図書館です。	What is that? It's a library.
これは何ですか? 映画雑誌です。	What is this? It's a movie magazine.
これらは何ですか? 消しゴムです。	What are those? They are erasers.
あれらは何ですか?	What are those?
彼は放課後何をしますか?	What does he do after school?
ナンシーは何色が好きですか?	What color does Nancy like?
これは何の花ですか? 百合です。	What flower is this? It's a lily.
あなたの奥さんはどんな食べ物が好きですか? 中華料理が好きです。	What kind of food does your wife like? She likes Chinese food.
あの言葉の意味は何ですか?	What is the meaning of that word?
あなたのご主人は朝食に何を食べますか?	What does your husband have for breakfast?
彼は誰ですか? 僕の友達です。	Who is he? He is a friend of mine.
彼女は誰ですか? ナンシーのお姉さんです。	Who is she? She is Nancy's sister.
