*	name	GSL08
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
hunt	"を狩る
 狩り"
bean	豆
arise	"発*生する*
 
 (arise, arose, arisen)"
creature	生き物
dive	"飛び込む
 飛び込み
 
 （正規変化）
 (dive, dived, dived)"
clothe	衣服を着せる
thorn	(植物の)とげ
grave	"重大な
 墓 (異義語)"
beg	をくれと頼む
master	"主人
 に熟達する"
horse	"馬
 
 (colt 雄子馬 filly 雌子馬)
 (horseback-riding 乗馬)"
wrist	手首
believe	"(を)信じる
 確かだと思う(I think より強い)
 の存在・価値を信じる(believe in)
 
 (I believe in God.)
 (I believe in early rising.)"
daughter	娘
comb	"櫛(くし)
 を櫛でとかす"
habit	"習慣
 癖
 
 (habit は個人の癖や習慣)
 (custom は社会や個人の
 規則的な慣習)"
"interest
 (名詞・動詞 同じ発音)"	"*興味*
 *利益*､*利子*
 *に興味を起こさせる*
 
 （be interested in ）
 （ 興味を持っている）
 (このinterestedは形容詞)"
although	だけれども
expression	"表現
 表情"
relate	"を関係づける
 親戚である"
edge	"端
 刃先"
sport	"スポーツ
 (運動競技だけでなく
 狩りや魚釣競技も含む)"
mention	"に言及する
 （言及)"
tail	"尾
 (を尾行する)"
least	"最も少ない(く)
 （littleの最上級）"
study	"(を)勉強する
 
 (lean は 習得する)"
inn	"*宿* 
 
 （OALD辞書では下記）
 (英 old-fashioned,a pub, 
 usually in the country and often one
  where people can stay the night)
 (米 a small hotel, usually in the country)"
time	"*時刻*､ *時間*
 *余分な時間*(ひま)
 *回*、*倍*
 (once, twice, three times)
 （*時間をはかる*）
 
 （What time is it?）
 （一番無難な言い方）"
complication	"複雑な事柄
 余病"
join	"に加わる
 をつなぐ
 参加する
 (点・線・面の接合箇所)"
second	"第２(の)
 秒"
grace	優雅
imaginary	想像上の
disrespect	失礼､無礼
blood	"血
 （血統）"
breath	"息
 呼吸"
pure	純粋な
enemy	"(1人の)敵
 敵軍(the enemy)
 
 （反意語 味方）
 (a friend⇔an enemy 対立側)
 (one's side 擁護側)
 (a partner ペア試合)"
hair	髪の毛
shout	"(を)叫ぶ
 叫び声"
interrupt	"(を)邪魔する
 中断する"
different	違った
robbery	強盗
deal	"を分配する
 を扱う(deal with)
 配ること
 （取引）
 
 (deal, dealt, dealt)"
problem	"*問題*
 （重要度の高い問題）
 
 （質問や試験問題はquestion）"
fine	"（原義：完成させた）
 すばらしい
 優れた、元気な､
 申し分のない、細かい
 
 *罰金*（異義語）"
murder	"殺人
 を殺す"
half	半分(の)
man	"大人の男性
 人間"
deepen	"(を)深くする
 (を)濃くする"
pay	"(を)支払う
 に報いる
 給料
 
 (pay, paid, paid)"
might	"してもよい
 かもしれない
 
 （助動詞mayの過去）
 (文法･辞書を必読)
 (許可・推量・丁寧 など)"
spill	"をこぼす
 こぼれる"
ripen	"熟する
 を熟させる"
forget	"(を)忘れる
 
 (forget, forgot, forgotten)"
tremble	震える
proud	誇りをもっている
more	もっと多くの
crop	作物
nuisance	迷惑
bird	鳥
disappoint	"を失望させる
 
 (I was disappinted to hear the news.)"
employ	を雇う
leather	"なめし革
 皮革製品"
society	"社会
 協会"
admission	"（入場・入会・入学・入国などの）許可
 入場料"
loyalty	忠誠
complicate	を複雑にする
snake	ヘビ
word	"単*語*､*ことば*､*話*
 
 (word は英単語の多義性の典型。文脈によって下記のように多義となる。
 一声､ 会話､口論､セリフ､歌詞、
 スピーチ､演説､知らせ､便り､合図
 命令､約束､信用、動詞:言で表わす)"
tempt	を誘惑する
crush	"を押しつぶす
 押し合い"
discontent	"不満
 不満である"
this	これ､この
ripe	じゅく(熟)した
moreover	その上
lake	湖
exact	正確な
belt	"ベルト
 地帯
 (特色ある地帯)"
