*	name	GSL07
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
kind	"親切な
 種類"
strap	"車内のつり紐
 肩紐"
sun	"太陽 (the sun)
 日光(in the sun)"
connection	"接続
 連絡"
slide	"滑る
 を滑らせる
 滑ること
 
 (slide, slid, slid)"
stone	石
anxious	心配して
polish	を磨く
blame	をとがめる
feel	"を感じる
 と感じる
 (feel, felt, felt)
 
 (""How are you feeling today?"" ""I'm feeling much better, thanks."" お加減 )"
swallow	"をのみ込む
 ツバメ(異義語)"
shame	恥､不名誉
tide	潮
appearance	"出現
 外観"
operator	"操作する人
 交換手"
shoulder	"肩
 (日本語の肩より
 広く上背部）"
stem	"草の茎
 木の茎
 ・・から生ずる"
guilt	"有罪
 
 （反意語 ）
 （innocence 無罪）"
want	"が欲しい
 ・・したい
 を望む
 (名詞は 不足､欠乏､
 必要､貧困 など多義)"
intention	意図
paste	"のり
 をのりで貼る"
good	"良い(基本義)
 上手な(good, be good at)
 親切な
 良いこと
 
 (多義、辞書を必読)"
"elder
 (米 older)"	"年上の
 （同じ家族の時につかう）"
latter	"後の
 後者(the latter)"
permit	"を許可する
 （許す）
 
 (名詞 発音['pә:r-mit]) 
 （許可証）"
neither	"どちらの・・ない
 
 （Neither you nor I am wrong.)"
button	ボタン
rise	"昇る
 上昇
 (rise, rose, rizen)
 
 (The sun rises in the east.)"
frame	枠、骨組み
fall	"落ちる(基本義)、
 降る、下がる、倒れる
 (米) 秋
 （滝 falls）
 低下、(転倒)、(落下)
 
 (fall, fell, fallen)"
bottom	"底
 最下部"
solve	(を)解く
thin	"薄い
 細い
 やせた"
reflect	(を)反射する
sailor	船員
copy	"写す
 部
 さつ(刷)"
why	なぜ
numerous	数多くの
declare	(を)宣言する
admit	"を入れる
 認める"
smoke	"煙
 いぶす
 タバコを吸う"
shower	"にわか雨
 にわか雨が降る
 シャワー"
hatred	憎しみ
dull	"頭の鈍い
 （鈍い）
 （つまらない）"
interruption	妨害
bind	"を縛る
 
 (bind,bound,bound)"
experience	"経験
 を経験する"
reputation	"評判
 名声"
strip	"を裸にする
 
 （異義語 細長い一片）"
forbid	"を禁じる
 
 (forbid,forbade,forbidden)"
here	"ここに(で､へ)
 はい(点呼の返事)"
parcel	"小包
 ひとかたまり"
fact	事実
morning	朝(の)､午前
production	"生産
 産物"
gaiety	陽気
happen	(偶然に)起こる
receive	"を受け取る
 を迎える"
arrive	"*到着する*
 （arrive at 建物・駅）
 （arrive in 国・都市）
 
 （He arrived in Tokyo.
 ＝He rached Tokyo.
 ＝He got to Tokyo.)
 
 (達する､時が来る、成功する
 生まれる 等の意味もある)"
race	"競争
 競争する
 人種
 種族"
dozen	"ダース(12個)
 
 (three dozen 等では
 hundreds のように
 複数形をとらない）
 （dozens of は成句）"
force	"力
 暴力
 （軍隊）
 に無理やりさせる"
ribbon	リボン
tight	"ぴったりした
 窮屈な
 しっかりと"
many	多くの
salt	塩
island	島
you	"あなた
 あなた方"
bound	"跳ね上がる
 行きの(bound for Tokyo)
 境界線(bounds)"
steady	安定した
patriotic	愛国的な
conquer	を征服する
rude	失礼な
