*	name	AWL02
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
Text 1	Text 2
seek	"を捜す
 -
 （↓高頻度語）
 （過去形sought）"
channel	"海峡
 水路
 チャンネル"
revolution	"革命
 回転"
element	"要素・成分
 元素
 -
 （↓高頻度語）
 （elements）"
acquire	"獲得する
 (買収する)
 -
 （↓AWL高頻度語）
 （acquisition 獲得）"
amend	"修正する
 -
 （↓高頻度語）
 （amendment 修正）"
overlap	"（名動 同発音）
 重複
 と重複する"
register	"*を登録する*
 -
 （↓高頻度語）
 （registered）"
initiate	"を開始する
 -
 （↓高頻度語）
 （initiatives 主導権）"
visible	目に見える
expose	"をさらす
 -
 （↓高頻度語）
 （exposure さらすこと）"
compatible	"*両立できる*
 互換性のある
 -
 （↓高頻度語）
 （incompatible 両立しない）"
context	"文脈
 背景"
stable	"安定した
 -
 （↓高頻度語）
 （stability [stәbíliti] ）
 （安定性）"
somewhat	"やや
 (堅い語)"
aid	"手伝い
 を助ける
 (helpの堅い語)"
alternative	"*二者択一､代替案*
 (選ぶべきひとつの物)
 -
 (OALD辞書：a thing that you can choose to do or have out of two or more possibilities)"
equip	"に装備をする
 (equip A with B)
 -
 （↓高頻度語）
 （equipment 設備）"
thereby	それによって
summary	"要約
 手短な"
confine	"*を制限する*
 を閉じ込める
 -
 （↓高頻度語）
 （confined）"
simulate	"のふりをする
 模擬実験をする
 -
 （↓高頻度語）
 （simulation ）
 （ふり､模擬実験）"
predict	"を預言する
 -
 （↓高頻度語）
 （predicted）"
ethnic	"民族の
 人種の"
capacity	"発音(æ)に注意 ( kə-'pæ-sə-ti ) 
 -
 収容能力 (能力)
 -
 （↓高頻度語）
 （capacities）"
potential	"可能な
 潜在的な
 潜在力"
deviate	"*逸*脱する
 -
 （高頻度語）
 （deviation 逸脱）"
minor	"小さいほうの
 -
 （↓高頻度語）
 （minorities 少数）"
domain	"領域
 -
 (domainには古い時期
 の領土の意味もあるが
 ふつうは territory)"
philosophy	"哲学
 人生観"
welfare	"幸福
 繁栄
 福祉"
restrict	"を制限する
 -
 （↓高頻度語）
 （restricted）"
media	マスコミ
"assure
 (発音注意 ə-'ʃuə(r))"	"*保証する*
 -
 （↓高頻度語）
 （assurance 保証）"
implicit	"*暗*黙の
 -
 （反意語）
 （explicit 明白な）"
concept	概*念*
inspect	"検査する
 -
 （↓高頻度語）
 （inspection 検査）"
convert	"転換する
 -
 （↓高頻度語）
 （converted）"
ultimate	"究極の
 根本の
 -
 （↓高頻度語）
 （ultimately 最終的に）"
bond	"きずな
 契約
 公債"
facilitate	を容易にする
perspective	"見通し
 遠近法"
document	"文書
 文書記録する"
dominate	"を支配する
 -
 （↓高頻度語）
 （dominant 最も有力な)"
attain	"*を達成する*
 -
 （↓高頻度語）
 （attained）"
ministry	省庁
tense	"張りつめた
 緊張する・させる
 -
 （↓高頻度語）
 （tension 緊張）"
vision	"視覚
 視野
 先見"
define	"を定義する
 を明示する
 -
 （↓高頻度語）
 （definition 定義）"
distort	"*をゆがめる*
 -
 （↓高頻度語）
 （distorted）
 (参考 distortion ゆがみ)"
displace	"取って代わる
 を移す
 -
 （↓高頻度語）
 （displacement）
 (とって代わること）"
debate	"（名動 同発音）
 討論、討論する"
exclude	"を除外する
 -
 （↓高頻度語）
 （excluded）"
available	"利用できる
 手が空いている
 (When will you be available?)"
confer	"協議する(with)
 -
 （↓高頻度語）
 （conference 会議・協議)"
symbol	"象徴
 記号
 -
 （↓高頻度語）
 （symbolic）
 （象徴的な）"
consequent	"結果として起こる
 -
 （↓高頻度語）
 （consequences 結果・重要さ）"
cease	"をやめる
 やむ
 (stopの堅い語)
 -
 （↓高頻度語）
 （ceases）"
ambiguous	"あいまいな
 二つ以上の意味にとれる"
interpret	"*を**解*釈*する*
 （↑第一義なので注意）
 を説*明*する
 を*通*訳*する*
 -
 （↓高頻度語）
 (interpretation 解釈 通訳) 
 (注：translationは翻訳)"
professional	"本職の
 専門家"
communicate	"と通信する(with)
 に連絡する(to)
 -
 （↓高頻度語）
 （communication）
 （伝達・通信・情報）"
undergo	"(苦難､手術を)
 受ける
 耐える"
portion	"部分(分け前)
 を分ける"
compute	"計算する
 -
 （↓高頻度語）
 （computer）"
bulk	大きな容積
commence	"*始める*
 (始まる)
 -
 （↓高頻度語）
 （commenced）"
significant	"意義深い
 重要な
 意味ありげな"
coincide	"同時に起こる
 一致する
 -
 （参考 coincidence=偶然の一致）"
sequence	*連*続
construct	"建設する
 -
 （↓高頻度語）
 （construction）
 (建設・建築様式・建築物)"
category	"*部門・種類*
 (哲学:範疇 ﾊﾝﾁｭｳ)
 -
 （↓高頻度語）
 （categories）"
capable	"*有能な*
 -
 (参考：下ほど口語的)
 (He is capable of dooing it.)
 (He is capable to do it.)
 (He can do it.)"
dynamic	動的な
ratio	比率
conflict	"衝突・闘争
 -
 (動詞発音はkәnflíkt)
 （衝突する,争う）"
encounter	"（名動 同発音）
 遭遇
 偶然出会う
 困難・危険に出くわす
 -
 （↓高頻度語）
 （encountered）"
option	選択
thesis	"論文
 論題"
design	"デザイン
 設計
 計画
 ﾃﾞｻﾞｲﾝ(設計)する"
exceed	を超える
coordinate	"調整する
 つり合わせる
 -
 （↓高頻度語）
 （coordination 調整・調和）"
authority	"権威・権力
 権限・認可
 当局(the authorities)
 専門家"
finance	"財源
 財政
 資金調達する
 -
 （↓高頻度語）
 (financial 財政の)
 (参考：the Ministry of Finance 
 財務省)"
nevertheless	それにもかかわらず
attribute	"(名詞発音 ǽtrəbju:t) 属性
 -
 (動詞発音 әtríbju:t) (attribute A to B・・・AをBのせいにする)
 -
 （↓高頻度語）
 （attributed）"
pursue	を追跡する
generation	"世代
 発生"
prospect	見込み
stress	"圧迫
 緊張感
 強調
 アクセント
 を強調する"
paradigm	"*パラダイム*
 (ある時代や分野に
 特徴的な理論的枠組)"
clause	節・条項
require	"必要とする
 を要求する
 -
 （↓高頻度語）
 （米 required）
 （必修の）"
enable	をできるようにする
converse	"*会話をする*
 -
 （↓高頻度語）
 （conversely 逆に言えば）
 -
 (参考：conversation はconverseのWord familyだが 初歩語でAWLにはない）"
identical	同一の
link	"輪 
 をつなぐ"
resource	"資源(複数)
 手段
 -
 （↓高頻度語）
 （resources）"
project	"企画
 -
 (動詞発音 prәʤékt)
 （を計画する）"
major	"大きいほうの(主要な)
 (米) 専攻の
 (米) 専攻科目"
ideology	イデオロギー(観念)
source	"物事の原因
 出所
 源"
author	著者
restrain	"*抑制する*
 -
 （↓高頻度語）
 （restraints 抑制）"
coherent	"*筋の通っている*
 -
 （↓高頻度語）
 （coherence 首尾一貫）"
constant	"絶え間のない
 (不変の・一定の)"
grant	"をかなえる
 を与える
 を認める
 -
 （↓高頻度語）
 （granted）"
ethic	"*倫理*
 -
 （↓高頻度語）
 （ethical 倫理の）"
infrastructure	社会基盤
correspond	"一致する(with)
 に相当する(to)
 と文通する(with)
 -
 （↓高頻度語）
 （corresponding に対応する）"
inherent	生まれつきの
external	外部の
journal	"新聞
 日記"
reside	"住む
 -
 （↓高頻度語）
 （resident 居住者）"
assess	"評価・査定する
 -
 （↓高頻度語）
 （assessment 評価・査定)"
format	"本などの型
 書式・形式"
transfer	"乗り換え､移動､譲渡
 -
 （動詞発音 træns'fә:〔r〕）
 （を移す）
 （を転任・転校させる）
 （を譲渡する）
 （乗り換える）"
gender	性別
levy	"(税金等の)*徴収*
 徴収する､課する"
task	仕事
reinforce	"補強する
 -
 （↓高頻度語）
 （reinforced）"
recover	"回復する
 -
 （↓高頻度語）
 （recovery 回復)"
legislate	"法を制定する
 -
 （↓高頻度語）
 （legislation）
 （立法・制定法律）"
trace	"跡 
 の跡をたどる"
civil	市民の
logic	"論理
 (論理学)"
refine	精製する
contemporary	現代の
innovate	"を革新する
 -
 （↓高頻度語）
 （innovation 革新）"
involve	"*を*巻*き*込*む*(in)
 *を必然的に含む*
 *に夢中になる*
 (be involved with)
 -
 （↓高頻度語）
 （involved 複雑な）"
sustain	"を維持する
 -
 （↓高頻度語）
 （sustainable）
 （支えうる）"
widespread	普及した
precede	"に先行する
 -
 （↓高頻度語）
 （preceding 前の）"
equivalent	"に等しい
 同等の物"
mental	精神の
ignorant	"無知の
 知らない
 (be ignorant of)
 -
 （↓高頻度語）
 （ignored）"
intrinsic	"固有の
 内在の"
justify	"を正しいとする
 -
 （↓高頻度語）
 （justification 正当化）"
outcome	"結果
 -
 （↓高頻度語）
 （outcomes）"
supplement	"*補足*
 -
 （↓高頻度語）
 （supplementary）
 （補足の）"
assign	"を割り当てる
 を決める(会合の日時等)
 -
 （↓高頻度語）
 （assigned）"
assist	"を助ける
 (helpの堅い語)
 -
 （↓高頻度語）
 （assistance 援助）"
assume	"(証拠はないが ) *と思う*
 (任務・責任など) *をとる*
 態度をとる
 横取りする"
adapt	"適応する
 -
 （↓AWL高頻度語）
 （adaptation 適応）"
period	"期間
 時代
 学校の時限
 終止符(英:full stop)"
physical	"肉体の
 物質の
 物理学の"
vehicle	乗り物
function	"機能
 機能する"
random	無作為の
cooperate	"と協力する
 -
 （↓高頻度語）
 （cooperative 協同の）"
so‑called	"*いわゆる・俗にいう*
 -
 (英語では不信・軽蔑の意あり
 ふつう 使わない方が安全。 
 what we call ・・ が無難)
 -
 (Longman辞書：used to describe someone or something that has been given a name that you think is wrong)"
append	"*添える*
 -
 （↓高頻度語）
 （appendix 付録）"
terminate	"終わらせる
 終わる
 -
 （↓高頻度語）
 （termination 終了）"
margin	"余白
 余裕
 利ざや
 -
 （↓高頻度語）
 （marginal）
 （わずかの）"
"minimize
 (英綴り minimise)"	"を最小限にする
 -
 （↓高頻度語）
 （minimized）"
survey	"概観・調査
 -
 (動詞発音は sә:rvéi)
 （を見渡す）
 （を概観する）
 （を調査する）"
principal	"主な
 元金
 (米:小中高の校長)
 (英:大学の学長)"
component	"構成要素
 (成分・部品)
 -
 （↓高頻度語）
 （components）"
perceive	"に気*づく*
 -
 （↓高頻度語）
 （perceived）"
comprise	を包含する
scenario	脚本
estate	"*土地*
 (大きな屋敷の広い土地)"
inevitable	"避けられない
 -
 （↓高頻度語）
 （inevitably 必然的に）"
expand	"を広げる
 広がる
 -
 （↓高頻度語）
 （expansion 拡張・膨張）"
percent	パーセント
distribute	"分配する
 分布する
 -
 （↓高頻度語）
 (distribution 分配)"
intelligent	"知能の高い
 -
 （↓高頻度語）
 （intelligence 知能）"
commit	"を犯す
 -
 （↓高頻度語）
 （commitment 約束）"
internal	内部の
individual	"個人
 個人の
 個性的な"
contrast	"対照
 -
 (動詞発音 kәntrǽst)
 （対照させる）"
convene	"会が招集される
 (会を招集する)
 -
 （↓高頻度語）
 （convention しきたり､大会）"
positive	"明確な
 確信している
 積極的な
 まったくの"
invest	"投資する
 -
 （↓高頻度語）
 （investment 投資）"
indicate	"を指し示す
 だと知らせる"
survive	"生き残る
 より長生きする"
incorporate	"を合同させる
 -
 （↓高頻度語）
 (incorporated 合併した)"
demonstrate	"を実*証*する
 デモをする"
motive	"動機
 -
 （↓高頻度語）
 （motivation 動機づけ）"
concentrate	"集める・集まる
 集中する(on)
 -
 （↓高頻度語）
 （concentration 集中・集結・濃縮）"
sex	性
role	役割 (役)
similar	"似通った
 (相似の)"
constrain	"無理に・・させる
 -
 （↓高頻度語）
 （constraints 強制）"
network	ネットワーク
circumstance	"*事情*､状況
 -
 （↓AWL高頻度語）
 （circumstances）"
annual	"毎年の
 (年報)
 (一年生植物)"
mode	方式
"labor
 (英綴り:labour)"	"労働
 労働する"
finite	限りある
